gene	acession	vfid	VFID	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference
spa47	NP_858282	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
spa13	NP_858283	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
spa32	NP_858284	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
spa33	NP_858285	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
spa24	NP_858286	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
spa9	NP_858287	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
spa29	NP_858288	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
spa40	NP_858289	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
virA	NP_858314	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
icsP/sopA	NP_858404	SopA	
senB	YP_406304	VF0258	VF0258	ShET2	Shigella enterotoxin 2	Shigella flexneri	VFC0235	Exotoxin	Encoded on inv plasmid		May account for the early diarrheal phase often observed during shigellosis		Abstract(s) in PubMed
stxA	YP_403025	VF0117	VF0117	Shiga toxin		Shigella dysenteriae (serotype 1 only)	VFC0235	Exotoxin	"Also known as verotoxin, verocytotoxin or Shiga-like toxins, are produced by several enteric pathogens, most importantly Shigella dysenteriae (serotype 1 only) and EHEC"	"Comprises one A subunit of 32kDa, which is the active component of the toxin, non-covalently bonded to five identical B subunits each of 7.7kDa. B subunits form a pentameric structure binding to its cellular receptor globotriaosyl ceramide (Gb3). STxB-GB3 induces narrow tubular membrane invaginations for its uptake into cells. The A subunit is composed of two fragments, A1 and A2, linked by a disulphide bond. A subunit is proteolytically cleaved at this site by enzymes in ER and cytosol to form a 27-kDa A1 subunit, responsible for the enzymatic activity of Stx; PDB code: 1DM0"	"Important factors in disease pathogenesis and are responsible for some of the severe complications, such as haemorrhagic colitis and the haemolytic uremic syndrome (HUS)"	"Stx inactivates 28S ribosomal RNA by cleaving a specific N-glycosidic bond. The target of Stx is the RNA acceptor site aminoacyl-tRNA docking, thus, it inhibits peptide chain elongation by blocking aminoacyl-tRNA binding to the acceptor site on ribosomal RNA."	Abstract(s) in PubMed
ipaH7.8	NP_858211	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
ipaH9.8	NP_858359	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
ospG	NP_858360	VF0118	VF0118	TTSS	Type III secretion system	Shigella flexneri	VFC0086	Effector delivery system	Encoded on the large virulence plasimid; The activity of type III secretion systems is tightly regulated. It is activated upon contact with the cellular surface; Abbreviations:  Ipg for invasion plasmid gene;  Spa for surface presentation of invasion plasmid antigens;  Mxi for membrane excretion of Ipa	"Composed of an external needle, a transmembrane domain and a cytoplasmic bulb, together termed the 'needle complex'"	"Mxi-Spa system secretes approximately 20 proteins with the four Ipas A, B,C,D and IpgD being the most abundant; Recent findings indicate that TTSS in Shigella is responsible not only for protein secretion, but that it is also involved in the control mechanisms of transcription of other target genes located on the virulence plasmid, virA and ipaH9.8, these proteins were not constitutively synthesized and stored in the bacterial cytoplasm; their expression was markedly increased after initial activation of the secretion system, virA is not required for entry;Upon contact of the tip of the needle with the plasma membrane, the injectisome secretes its protein substrates into host cells. Some of these substrates act as translocators or effectors whose functions are key to the invasion of the cytosol and the cell-to-cell spread characterizing the lifestyle of Shigella spp."		Abstract(s) in PubMed
gspC	YP_404599	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspD	YP_404600	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspE	YP_404601	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspF	YP_404602	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspG	YP_404603	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspH	YP_404604	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspI	YP_404605	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspJ	YP_404606	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspK	YP_404607	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspL	YP_404608	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
gspM	YP_404609	VF0333	VF0333	T2SS	Type II secretion system	Shigella dysenteriae	VFC0086	Effector delivery system	"T2SS encoded by genes of the general secretion pathway (gsp) is widely distributed in Gram-negative bacteria. The known E.coli T2SS, responsible for chitinase secretion, encoded by the yhe genes at 74.5 min of the MG1655 chromosome is absent in all four sequenced Shigella genomes; A novel set of gsp genes are located on the S. dysenteriae Sd197 and S. boydii Sb227 chromosomes. The Sb227 T2SS is likely to be inactive due to a frameshift in gspC and a nonsense mutation in gspD. Those genes show significant similarity to those from ETEC and Vibrio cholerae responsible for secreting the E.coli heat labile toxin (Ltx) and cholera toxin (Ctx), respectively. While Shiga toxin has an overall similar structure to Ctx and Ltx."		Still unknown.		Abstract(s) in PubMed
ipgB2	NP_858157	SS011	
ospC2	NP_858196	SS011	
ospC3	NP_858248	SS011	
ospC4	NP_858138	SS011	
ospD1	NP_858155	SS011	
ospD2	NP_858142	SS011	
ospB	NP_858136	SS011	
ospC1	NP_858227	SS011	
ospF	NP_858143	SS011	
ospD3/senA	NP_858226	SS011	
ospE1	ABS57166	SS011	
ospE2	ABS57165	SS011	
ipaH1.4	NP_858398	SS011	
ipaH2.5	NP_858187	SS011	
ipaH4.5	NP_858212	SS011	
shuS	YP_405020	VF0256	VF0256	Shu		Shigella dysenteriae	VFC0272	Nutritional/Metabolic factor	"Heme utilization genes have been identified in numerous pathogens, including E. coli O157:H7, Yersinia pestis, Yersinia enterocolitica, Vibrio cholerae, Haemophilus influenzae, Neisseria meningitidis, etc.; Two heme-uptake systems:; (1) direct binding of heme or heme-containing proteins to specific outer membrane receptors; (2) secretion of hemophores to interact with the hemoproteins and present it to specific receptors"		"Shu heme utilization locus includes:; ShuA, TonB-denpendent heme receptor which is critical for the uptake of heme into the periplasm,; ShuT, putative periplasmic binding protein which specifically binds heme and acts as a soluble receptor for active uptake of heme into the cytoplasm; ShuU and ShuV comprise the cytoplasmic membrane permease and ATPase; ShuS, soluble cytoplasmic protein may function as a heme storage proteins during periods of active heme transport and as a DNA binding protein to protect the DNA from heme mediated oxidative damage"		Abstract(s) in PubMed
shuA	YP_405019	VF0256	VF0256	Shu		Shigella dysenteriae	VFC0272	Nutritional/Metabolic factor	"Heme utilization genes have been identified in numerous pathogens, including E. coli O157:H7, Yersinia pestis, Yersinia enterocolitica, Vibrio cholerae, Haemophilus influenzae, Neisseria meningitidis, etc.; Two heme-uptake systems:; (1) direct binding of heme or heme-containing proteins to specific outer membrane receptors; (2) secretion of hemophores to interact with the hemoproteins and present it to specific receptors"		"Shu heme utilization locus includes:; ShuA, TonB-denpendent heme receptor which is critical for the uptake of heme into the periplasm,; ShuT, putative periplasmic binding protein which specifically binds heme and acts as a soluble receptor for active uptake of heme into the cytoplasm; ShuU and ShuV comprise the cytoplasmic membrane permease and ATPase; ShuS, soluble cytoplasmic protein may function as a heme storage proteins during periods of active heme transport and as a DNA binding protein to protect the DNA from heme mediated oxidative damage"		Abstract(s) in PubMed
shuT	YP_405017	VF0256	VF0256	Shu		Shigella dysenteriae	VFC0272	Nutritional/Metabolic factor	"Heme utilization genes have been identified in numerous pathogens, including E. coli O157:H7, Yersinia pestis, Yersinia enterocolitica, Vibrio cholerae, Haemophilus influenzae, Neisseria meningitidis, etc.; Two heme-uptake systems:; (1) direct binding of heme or heme-containing proteins to specific outer membrane receptors; (2) secretion of hemophores to interact with the hemoproteins and present it to specific receptors"		"Shu heme utilization locus includes:; ShuA, TonB-denpendent heme receptor which is critical for the uptake of heme into the periplasm,; ShuT, putative periplasmic binding protein which specifically binds heme and acts as a soluble receptor for active uptake of heme into the cytoplasm; ShuU and ShuV comprise the cytoplasmic membrane permease and ATPase; ShuS, soluble cytoplasmic protein may function as a heme storage proteins during periods of active heme transport and as a DNA binding protein to protect the DNA from heme mediated oxidative damage"		Abstract(s) in PubMed
shuX	YP_405016	VF0256	VF0256	Shu		Shigella dysenteriae	VFC0272	Nutritional/Metabolic factor	"Heme utilization genes have been identified in numerous pathogens, including E. coli O157:H7, Yersinia pestis, Yersinia enterocolitica, Vibrio cholerae, Haemophilus influenzae, Neisseria meningitidis, etc.; Two heme-uptake systems:; (1) direct binding of heme or heme-containing proteins to specific outer membrane receptors; (2) secretion of hemophores to interact with the hemoproteins and present it to specific receptors"		"Shu heme utilization locus includes:; ShuA, TonB-denpendent heme receptor which is critical for the uptake of heme into the periplasm,; ShuT, putative periplasmic binding protein which specifically binds heme and acts as a soluble receptor for active uptake of heme into the cytoplasm; ShuU and ShuV comprise the cytoplasmic membrane permease and ATPase; ShuS, soluble cytoplasmic protein may function as a heme storage proteins during periods of active heme transport and as a DNA binding protein to protect the DNA from heme mediated oxidative damage"		Abstract(s) in PubMed
shuY	YP_405015	VF0256	VF0256	Shu		Shigella dysenteriae	VFC0272	Nutritional/Metabolic factor	"Heme utilization genes have been identified in numerous pathogens, including E. coli O157:H7, Yersinia pestis, Yersinia enterocolitica, Vibrio cholerae, Haemophilus influenzae, Neisseria meningitidis, etc.; Two heme-uptake systems:; (1) direct binding of heme or heme-containing proteins to specific outer membrane receptors; (2) secretion of hemophores to interact with the hemoproteins and present it to specific receptors"		"Shu heme utilization locus includes:; ShuA, TonB-denpendent heme receptor which is critical for the uptake of heme into the periplasm,; ShuT, putative periplasmic binding protein which specifically binds heme and acts as a soluble receptor for active uptake of heme into the cytoplasm; ShuU and ShuV comprise the cytoplasmic membrane permease and ATPase; ShuS, soluble cytoplasmic protein may function as a heme storage proteins during periods of active heme transport and as a DNA binding protein to protect the DNA from heme mediated oxidative damage"		Abstract(s) in PubMed
shuU	YP_405014	VF0256	VF0256	Shu		Shigella dysenteriae	VFC0272	Nutritional/Metabolic factor	"Heme utilization genes have been identified in numerous pathogens, including E. coli O157:H7, Yersinia pestis, Yersinia enterocolitica, Vibrio cholerae, Haemophilus influenzae, Neisseria meningitidis, etc.; Two heme-uptake systems:; (1) direct binding of heme or heme-containing proteins to specific outer membrane receptors; (2) secretion of hemophores to interact with the hemoproteins and present it to specific receptors"		"Shu heme utilization locus includes:; ShuA, TonB-denpendent heme receptor which is critical for the uptake of heme into the periplasm,; ShuT, putative periplasmic binding protein which specifically binds heme and acts as a soluble receptor for active uptake of heme into the cytoplasm; ShuU and ShuV comprise the cytoplasmic membrane permease and ATPase; ShuS, soluble cytoplasmic protein may function as a heme storage proteins during periods of active heme transport and as a DNA binding protein to protect the DNA from heme mediated oxidative damage"		Abstract(s) in PubMed
